Anio,Periodo,No-Pensionistas,,
2005,Enero,7307.714,,
2005,Febrero,7295.651,,
2005,Marzo,7301.822,,
2005,Abril,7308.519,,
2005,Mayo,7322.407,,
2005,Junio,7331.08,,
2005,Julio,7342.541,,
2005,Agosto,7350.342,,
2005,Septiembre,7353.852,,
2005,Octubre,7365.719,,
2005,Noviembre,7374.023,,
2005,Diciembre,7388.501,,
2006,Enero,7395.303,,
2006,Febrero,7393.458,,
2006,Marzo,7409.018,,
2006,Abril,7420.185,,
2006,Mayo,7428.585,,
2006,Junio,7440.152,,
2006,Julio,7450.199,,
2006,Agosto,7458.18,,
2006,Septiembre,7461.824,,
2006,Octubre,7470.89,,
2006,Noviembre,7479.881,,
2006,Diciembre,7494.385,,
2007,Enero,7499.208,,
2007,Febrero,7495.983,,
2007,Marzo,7501.996,,
2007,Abril,7513.172,,
2007,Mayo,7519.49,,
2007,Junio,7529.027,,
2007,Julio,7536.424,,
2007,Agosto,7544.034,,
2007,Septiembre,7550.717,,
2007,Octubre,7560.192,,
2007,Noviembre,7570.835,,
2007,Diciembre,7586.574,,
2008,Enero,7591.502,,
2008,Febrero,7587.389,,
2008,Marzo,7600.394,,
2008,Abril,7607.806,,
2008,Mayo,7606.271,,
2008,Junio,7627.371,,
2008,Julio,7637.4,,
2008,Agosto,7652.122,,
2008,Septiembre,7657.344,,
2008,Octubre,7672.164,,
2008,Noviembre,7686.688,,
2008,Diciembre,7700.749,,
2009,Enero,7709.553,,
2009,Febrero,7705.117,,
2009,Marzo,7722.577,,
2009,Abril,7736.581,,
2009,Mayo,7738.254,,
2009,Junio,7752.753,,
2009,Julio,7768.524,,
2009,Agosto,7781.302,,
2009,Septiembre,7786.059,,
2009,Octubre,7799.283,,
2009,Noviembre,7812.169,,
2009,Diciembre,7826.416,,
2010,Enero,7836.179,,
2010,Febrero,7833.75,,
2010,Marzo,7849.265,,
2010,Abril,7862.221,,
2010,Mayo,7864.63,,
2010,Junio,7878.382,,
2010,Julio,7892.528,,
2010,Agosto,7903.684,,
2010,Septiembre,7910.2,,
2010,Octubre,7922.681,,
2010,Noviembre,7934.921,,
2010,Diciembre,7948.463,,
2011,Enero,7957.105,,
2011,Febrero,7960.682,,
2011,Marzo,7974.576,,
2011,Abril,7988.085,,
2011,Mayo,7986.75,,
2011,Junio,8001.081,,
2011,Julio,8013.58,,
2011,Agosto,8022.089,,
2011,Septiembre,8029.573,,
2011,Octubre,8039.47,,
2011,Noviembre,8049.966,,
2011,Diciembre,8061.785,,
2012,Enero,8066.507,,
2012,Febrero,8066.202,,
2012,Marzo,8074.196,,
2012,Abril,8080.563,,
2012,Mayo,8089.367,,
2012,Junio,8094.141,,
2012,Julio,8108.855,,
2012,Agosto,8122.95,,
2012,Septiembre,8130.374,,
2012,Octubre,8143.932,,
2012,Noviembre,8165.528,,
2012,Diciembre,8182.112,,
2013,Enero,8190.914,,
2013,Febrero,8184.117,,
2013,Marzo,8198.453,,
2013,Abril,8208.976,,
2013,Mayo,8216.616,,
2013,Junio,8235.78,,
2013,Julio,8250.627,,
2013,Agosto,8262.77,,
2013,Septiembre,8269.866,,
2013,Octubre,8282.989,,
2013,Noviembre,8299.713,,
2013,Diciembre,8315.826,,
2014,Enero,8323.965,,
2014,Febrero,8318.212,,
2014,Marzo,8328.658,,
2014,Abril,8339.738,,
2014,Mayo,8341.124,,
2014,Junio,8355.745,,
2014,Julio,8368.115,,
2014,Agosto,8381.031,,
2014,Septiembre,8385.487,,
2014,Octubre,8400.291,,
2014,Noviembre,8416.198,,
2014,Diciembre,8428.617,,
2015,Enero,8439.499,,
2015,Febrero,8426.243,,
2015,Marzo,8428.726,,
2015,Abril,8436.354,,
2015,Mayo,8434.731,,
2015,Junio,8447.911,,
2015,Julio,8461.153,,
2015,Agosto,8462.042,,
2015,Septiembre,8474.512,,
2015,Octubre,8485.978,,
2015,Noviembre,8498.073,,
2015,Diciembre,8508.482,,
2016,Enero,8503.09,,
2016,Febrero,8509.091,,
2016,Marzo,8518.727,,
2016,Abril,8524.591,,
2016,Mayo,8528.843,,
2016,Junio,8545.172,,
2016,Julio,8559.328,,
2016,Agosto,8568.629,,
2016,Septiembre,8574.146,,
2016,Octubre,8586.224,,
2016,Noviembre,8595.509,,
2016,Diciembre,8609.085,,
2017,Enero,8602.601,,
2017,Febrero,8598.985,,
2017,Marzo,8610.495,,
2017,Abril,8624.602,,
2017,Mayo,8618.842,,
2017,Junio,8637.504,,
2017,Julio,8652.057,,
2017,Agosto,8661.628,,
2017,Septiembre,8668.141,,
2017,Octubre,8679.378,,
2017,Noviembre,8692.779,,
2017,Diciembre,8705.707,,
2018,Enero,8698.16,,
2018,Febrero,8699.056,,
2018,Marzo,8708.127,,
2018,Abril,8715.347,,
2018,Mayo,8714.595,,
2018,Junio,8733.153,,
2018,Julio,8747.282,,
2018,Agosto,8755.362,,
2018,Septiembre,8762.772,,
2018,Noviembre,8787.752,,
2018,Diciembre,8806.744,,
2019,Enero,8807.128,,
2019,Febrero,8818.371,,
2019,Marzo,8816.002,,
2019,Abril,8824.066,,
2019,Mayo,8815.982,,
2019,Junio,8838.58,,
2019,Julio,8849.299,,
2019,Agosto,8858.778,,
2019,Septiembre,8862.296,,
2019,Octubre,8869.496,,
2019,Noviembre,8882.933,,
2019,Diciembre,8897.902,,
2020,Enero,8897.979,,
2020,Febrero,8904.789,,
2020,Marzo,8896.412,,
2020,Abril,8889.909,,
2020,Mayo,8856.073,,
2020,Junio,8855.193,,
2020,Julio,8864.446,,
2020,Agosto,8873.158,,
2020,Septiembre,8861.002,,
2020,Octubre,8867.68,,
2020,Noviembre,8881.019,,
2020,Diciembre,8899.064,,
2021,Enero,8901.219,,
2021,Febrero,8897.914,,
2021,Marzo,8904.291,,
2021,Abril,8911.412,,
2021,Mayo,8920.066,,
2021,Junio,8935.875,,
2021,Julio,8947.574,,
2021,Agosto,8941.071,,
2021,Septiembre,8949.77,,
2021,Octubre,8958.584,,
2021,Noviembre,8974.596,,
2021,Diciembre,8990.513,,
2022,Enero,8995.154,,
2022,Febrero,8988.047,,
2022,Marzo,8996.829,,
2022,Abril,9001.585,,
2022,Mayo,8989.652,,
2022,Junio,9004.591,,
2022,Julio,9013.485,,
2022,Agosto,9015.379,,
2022,Septiembre,9015.737,,
2022,Octubre,9022.989,,
2022,Noviembre,9036.457,,
2022,Diciembre,9053.55,,