Anio,Periodo,Parametro,Valor,Estado,Notas
2006,Mayo,Mayo,2.673183607,Definitivo,
2006,Junio,Junio,2.725486638,Definitivo,
2006,Julio,Julio,2.708238876,Definitivo,
2006,Agosto,Agosto,2.71326113,Definitivo,
2006,Septiembre,Septiembre,1.903917885,Definitivo,
2006,Octubre,Octubre,1.712754071,Definitivo,
2006,Noviembre,Noviembre,1.634254606,Definitivo,
2006,Diciembre,Diciembre,1.572029813,Definitivo,
2007,Enero,2007,1.530848428,Definitivo,
2007,Febrero,Febrero,1.496913379,Definitivo,
2007,Marzo,Marzo,1.354985406,Definitivo,
2007,Abril,Abril,1.350058155,Definitivo,
2007,Mayo,Mayo,1.320872091,Definitivo,
2007,Junio,Junio,1.284242297,Definitivo,
2007,Julio,Julio,1.245439579,Definitivo,
2007,Agosto,Agosto,1.237181016,Definitivo,
2007,Septiembre,Septiembre,1.276445524,Definitivo,
2007,Octubre,Octubre,1.275681527,Definitivo,
2007,Noviembre,Noviembre,1.290392908,Definitivo,
2007,Diciembre,Diciembre,1.301444481,Definitivo,
2008,Enero,2008,1.300632616,Definitivo,
2008,Febrero,Febrero,1.288545202,Definitivo,
2008,Marzo,Marzo,1.380964348,Definitivo,
2008,Abril,Abril,1.320801943,Definitivo,
2008,Mayo,Mayo,1.230944805,Definitivo,
2008,Junio,Junio,1.379342206,Definitivo,
2008,Julio,Julio,1.40325477,Definitivo,
2008,Agosto,Agosto,1.492457877,Definitivo,
2008,Septiembre,Septiembre,1.465580489,Definitivo,
2008,Octubre,Octubre,1.532750164,Definitivo,
2008,Noviembre,Noviembre,1.588104553,Definitivo,
2008,Diciembre,Diciembre,1.56012803,Definitivo,
2009,Enero,2009,1.62486048,Definitivo,
2009,Febrero,Febrero,1.594300037,Definitivo,
2009,Marzo,Marzo,1.645071784,Definitivo,
2009,Abril,Abril,1.730539727,Definitivo,
2009,Mayo,Mayo,1.761699745,Definitivo,
2009,Junio,Junio,1.667060729,Definitivo,
2009,Julio,Julio,1.742328569,Definitivo,
2009,Agosto,Agosto,1.716002583,Definitivo,
2009,Septiembre,Septiembre,1.709732399,Definitivo,
2009,Octubre,Octubre,1.685930011,Definitivo,
2009,Noviembre,Noviembre,1.655578854,Definitivo,
2009,Diciembre,Diciembre,1.651362858,Definitivo,
2010,Enero,2010,1.663325634,Definitivo,
2010,Febrero,Febrero,1.693363947,Definitivo,
2010,Marzo,Marzo,1.664228379,Definitivo,
2010,Abril,Abril,1.648689892,Definitivo,
2010,Mayo,Mayo,1.657000293,Definitivo,
2010,Junio,Junio,1.64398481,Definitivo,
2010,Julio,Julio,1.618694379,Definitivo,
2010,Agosto,Agosto,1.593049591,Definitivo,
2010,Septiembre,Septiembre,1.61424622,Definitivo,
2010,Octubre,Octubre,1.601878223,Definitivo,
2010,Noviembre,Noviembre,1.589201913,Definitivo,
2010,Diciembre,Diciembre,1.576140451,Definitivo,
2011,Enero,2011,1.557515163,Definitivo,
2011,Febrero,Febrero,1.633710256,Definitivo,
2011,Marzo,Marzo,1.61036709,Definitivo,
2011,Abril,Abril,1.616384459,Definitivo,
2011,Mayo,Mayo,1.565325931,Definitivo,
2011,Junio,Junio,1.571727672,Definitivo,
2011,Julio,Julio,1.551125991,Definitivo,
2011,Agosto,Agosto,1.51797879,Definitivo,
2011,Septiembre,Septiembre,1.528734628,Definitivo,
2011,Octubre,Octubre,1.495590953,Definitivo,
2011,Noviembre,Noviembre,1.471273569,Definitivo,
2011,Diciembre,Diciembre,1.447927694,Definitivo,
2012,Enero,2012,1.398791229,Definitivo,
2012,Febrero,Febrero,1.350577684,Definitivo,
2012,Marzo,Marzo,1.265540558,Definitivo,
2012,Abril,Abril,1.170921448,Definitivo,
2012,Mayo,Mayo,1.292537648,Definitivo,
2012,Junio,Junio,1.180810625,Definitivo,
2012,Julio,Julio,1.205597465,Definitivo,
2012,Agosto,Agosto,1.270256386,Definitivo,
2012,Septiembre,Septiembre,1.266069055,Definitivo,
2012,Octubre,Octubre,1.306118636,Definitivo,
2012,Noviembre,Noviembre,1.44360427,Definitivo,
2012,Diciembre,Diciembre,1.497449268,Definitivo,
2013,Enero,2013,1.543301619,Definitivo,
2013,Febrero,Febrero,1.459253671,Definitivo,
2013,Marzo,Marzo,1.545060221,Definitivo,
2013,Abril,Abril,1.591831852,Definitivo,
2013,Mayo,Mayo,1.586234463,Definitivo,
2013,Junio,Junio,1.748866044,Definitivo,
2013,Julio,Julio,1.743585799,Definitivo,
2013,Agosto,Agosto,1.714553705,Definitivo,
2013,Septiembre,Septiembre,1.70833351,Definitivo,
2013,Octubre,Octubre,1.702880461,Definitivo,
2013,Noviembre,Noviembre,1.639662786,Definitivo,
2013,Diciembre,Diciembre,1.632628796,Definitivo,
2014,Enero,2014,1.623705034,Definitivo,
2014,Febrero,Febrero,1.637948314,Definitivo,
2014,Marzo,Marzo,1.587773733,Definitivo,
2014,Abril,Abril,1.594459152,Definitivo,
2014,Mayo,Mayo,1.513510726,Definitivo,
2014,Junio,Junio,1.459466423,Definitivo,
2014,Julio,Julio,1.430852436,Definitivo,
2014,Agosto,Agosto,1.442865629,Definitivo,
2014,Septiembre,Septiembre,1.410570106,Definitivo,
2014,Octubre,Octubre,1.426851756,Definitivo,
2014,Noviembre,Noviembre,1.413326606,Definitivo,
2014,Diciembre,Diciembre,1.366460361,Definitivo,
2015,Enero,2015,1.399457782,Definitivo,
2015,Febrero,Febrero,1.307093015,Definitivo,
2015,Marzo,Marzo,1.207980567,Definitivo,
2015,Abril,Abril,1.170014128,Definitivo,
2015,Mayo,Mayo,1.137951308,Definitivo,
2015,Junio,Junio,1.114999995,Definitivo,
2015,Julio,Julio,1.124275341,Definitivo,
2015,Agosto,Agosto,0.972227541,Definitivo,
2015,Septiembre,Septiembre,1.072399168,Definitivo,
2015,Octubre,Octubre,1.033974307,Definitivo,
2015,Noviembre,Noviembre,0.991286517,Definitivo,
2015,Diciembre,Diciembre,0.969232684,Definitivo,
2016,Enero,2016,0.767618843,Definitivo,
2016,Febrero,Febrero,1.006218334,Definitivo,
2016,Marzo,Marzo,1.093394264,Definitivo,
2016,Abril,Abril,1.067198745,Definitivo,
2016,Mayo,Mayo,1.134135924,Definitivo,
2016,Junio,Junio,1.173887003,Definitivo,
2016,Julio,Julio,1.182825146,Definitivo,
2016,Agosto,Agosto,1.285315035,Definitivo,
2016,Septiembre,Septiembre,1.198605615,Definitivo,
2016,Octubre,Octubre,1.207480399,Definitivo,
2016,Noviembre,Noviembre,1.169501132,Definitivo,
2016,Diciembre,Diciembre,1.203775447,Definitivo,
2017,Enero,2017,1.19029445,Definitivo,
2017,Febrero,Febrero,1.060026353,Definitivo,
2017,Marzo,Marzo,1.096869745,Definitivo,
2017,Abril,Abril,1.198523965,Definitivo,
2017,Mayo,Mayo,1.083160984,Definitivo,
2017,Junio,Junio,1.104183852,Definitivo,
2017,Julio,Julio,1.107135864,Definitivo,
2017,Agosto,Agosto,1.110653245,Definitivo,
2017,Septiembre,Septiembre,1.119971982,Definitivo,
2017,Octubre,Octubre,1.104547073,Definitivo,
2017,Noviembre,Noviembre,1.152640953,Definitivo,
2017,Diciembre,Diciembre,1.143064398,Definitivo,
2018,Enero,2018,1.131434642,Definitivo,
2018,Febrero,Febrero,1.200201358,Definitivo,
2018,Marzo,Marzo,1.151093518,Definitivo,
2018,Abril,Abril,1.066857477,Definitivo,
2018,Mayo,Mayo,1.131212799,Definitivo,
2018,Junio,Junio,1.13272035,Definitivo,
2018,Julio,Julio,1.128944566,Definitivo,
2018,Agosto,Agosto,1.107097355,Definitivo,
2018,Septiembre,Septiembre,1.11911933,Definitivo,
2018,Octubre,Octubre,1.095442753,Definitivo,
2018,Noviembre,Noviembre,1.126232272,Definitivo,
2018,Diciembre,Diciembre,1.194998419,Definitivo,
2019,Enero,2019,1.289621373,Definitivo,
2019,Febrero,Febrero,1.398245659,Definitivo,
2019,Marzo,Marzo,1.271117158,Definitivo,
2019,Abril,Abril,1.285067677,Definitivo,
2019,Mayo,Mayo,1.198618195,Definitivo,
2019,Junio,Junio,1.243992781,Definitivo,
2019,Julio,Julio,1.200811383,Definitivo,
2019,Agosto,Agosto,1.225489153,Definitivo,
2019,Septiembre,Septiembre,1.180699046,Definitivo,
2019,Octubre,Octubre,1.158327346,Definitivo,
2019,Noviembre,Noviembre,1.127880553,Definitivo,
2019,Diciembre,Diciembre,1.083993931,Definitivo,
2020,Enero,2020,1.084441107,Definitivo,
2020,Febrero,Febrero,1.009648568,Definitivo,
2020,Marzo,Marzo,0.968106945,Definitivo,
2020,Abril,Abril,0.796239906,Definitivo,
2020,Mayo,Mayo,0.475806108,Definitivo,
2020,Junio,Junio,0.22095431,Definitivo,
2020,Julio,Julio,0.225025426,Definitivo,
2020,Agosto,Agosto,0.2194925,Definitivo,
2020,Septiembre,Septiembre,0.051770955,Definitivo,
2020,Octubre,Octubre,0.047805253,Definitivo,
2020,Noviembre,Noviembre,0.04420364,Definitivo,
2020,Diciembre,Diciembre,0.077948215,Definitivo,
2021,Enero,2021,0.103132165,Definitivo,
2021,Febrero,Febrero,0.021437718,Definitivo,
2021,Marzo,Marzo,0.166673555,Definitivo,
2021,Abril,Abril,0.335966432,Definitivo,
2021,Mayo,Mayo,0.840443393,Definitivo,
2021,Junio,Junio,1.02457882,Definitivo,
2021,Julio,Julio,1.035143672,Definitivo,
2021,Agosto,Agosto,0.866995801,Definitivo,
2021,Septiembre,Septiembre,1.088460508,Definitivo,
2021,Octubre,Octubre,1.102320762,Definitivo,
2021,Noviembre,Noviembre,1.129999662,Definitivo,
2021,Diciembre,Diciembre,1.100487215,Definitivo,
2022,Enero,2022,1.130624789,Definitivo,
2022,Febrero,Febrero,1.070850646,Definitivo,
2022,Marzo,Marzo,1.09469211,Definitivo,
2022,Abril,Abril,1.058027824,Definitivo,
2022,Mayo,Mayo,0.842619266,Definitivo,
2022,Junio,Junio,0.826987367,Definitivo,
2022,Julio,Julio,0.792914338,Definitivo,
2022,Agosto,Agosto,0.876953279,Definitivo,
2022,Septiembre,Septiembre,0.792421202,Definitivo,
2022,Octubre,Octubre,0.788537351,Definitivo,
2022,Noviembre,Noviembre,0.768102628,Definitivo,
2022,Diciembre,Diciembre,0.785219996,Definitivo,